MLS,sold_price,zipcode,longitude,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,kitchen_features,fireplaces,floor_covering,HOA,sold_price_bin,total_bed_bath,sold_price_log,lot_acres_log,sold_price_category,zip,city,state_id,price_per_sqrt_ft,cv,maintenance_cost,volatility_risk,sold_price_risk,maintenance_risk,age_risk,weighted_score,final_risk,risk_category
21319173,592005.0,85715,-110.853638,32.254824,0.87,5140.0,1965,4,4.0,3039.0,2.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,"Carpet, Other",79.0,"(575000.0, 635000.0]",8.0,13.291272048949915,0.6259384308664953,Mid,85715,Tucson,AZ,194.8025666337611,0.27190396342319195,5219.0,High,Medium,Medium,High,2.6000000000000005,High,1
21320537,627500.0,85750,-110.867867,32.325024,0.95,5439.0,1998,4,3.0,3037.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",4,"Carpet, Ceramic Tile",40.0,"(575000.0, 635000.0]",7.0,13.349500543612304,0.6678293725756554,Mid,85750,Tucson,AZ,206.6183733947975,0.2476370394592814,5479.0,Medium,Medium,Medium,Low,1.9000000000000001,Medium,3
21304508,650000.0,85737,-110.964806,32.407289,0.46,2042.21,2013,3,3.0,3350.0,3.0,"Dishwasher, Garbage Disposal, Microwave, Oven",1,"Carpet, Concrete",75.0,"(635000.0, 727000.0]",6.0,13.384729180332174,0.3784364357202451,Higher Mid,85737,Tucson,AZ,194.02985074626866,0.17386405378090478,2117.21,Low,Medium,Low,Low,1.3000000000000003,Low,2
21307898,635000.0,85704,-110.954241,32.381589,0.98,6265.0,1989,4,4.0,3494.0,3.0,"Dishwasher, Garbage Disposal, Microwave, Oven",2,Ceramic Tile,25.0,"(575000.0, 635000.0]",8.0,13.361381852676738,0.6830968447064438,Mid,85704,Tucson,AZ,181.740125930166,0.18579799793456353,6290.0,Low,Medium,Medium,Low,1.4000000000000001,Low,2
21323619,620000.0,85718,-110.900167,32.301577,1.62,3571.01,1980,4,4.0,3501.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,"Carpet, Mexican Tile, Natural Stone, Wood",0.0,"(575000.0, 635000.0]",8.0,13.3374763699232,0.9631743177730056,Mid,85718,Tucson,AZ,177.09225935447014,0.23009985797140417,3571.01,Low,Medium,Low,High,1.5000000000000002,Medium,3
21305179,632500.0,85739,-110.904486,32.525489,0.21,4231.32,2002,3,3.0,3413.0,3.0,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1,"Carpet, Ceramic Tile, Wood",140.0,"(575000.0, 635000.0]",6.0,13.35743708061023,0.1906203596086497,Mid,85739,Tucson,AZ,185.320832112511,0.5515161133822905,4371.32,High,Medium,Low,Low,2.3000000000000003,Medium,3
21327009,595000.0,85658,-111.053373,32.420223,0.44,5857.4,2006,3,2.0,2350.0,2.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,Concrete,149.0,"(575000.0, 635000.0]",5.0,13.296318365198625,0.3646431135879092,Mid,85658,Marana,AZ,253.19148936170214,0.3926767832167278,6006.4,High,Medium,Medium,Low,2.4000000000000004,Medium,3
21329985,627500.0,85739,-110.894775,32.535873,0.21,5562.13,2001,3,3.0,3408.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1,"Carpet, Ceramic Tile",140.0,"(575000.0, 635000.0]",6.0,13.349500543612304,0.1906203596086497,Mid,85739,Tucson,AZ,184.1255868544601,0.5515161133822905,5702.13,High,Medium,Medium,Low,2.4000000000000004,Medium,3
21317130,580000.0,85745,-111.06079,32.233658,0.47,6038.08,2003,4,4.0,3606.0,3.0,"Dishwasher, Garbage Disposal, Microwave, Oven",2,Ceramic Tile,55.0,"(575000.0, 635000.0]",8.0,13.270785106659046,0.3852624007906449,Mid,85745,Tucson,AZ,160.8430393788131,0.27827454328546114,6093.08,High,Low,Medium,Low,2.1,Medium,3
21328540,595000.0,85715,-110.84645,32.260804,0.34,7354.36,1980,4,4.0,3417.0,2.0,"Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave",2,Wood,79.0,"(575000.0, 635000.0]",8.0,13.296318365198625,0.29266961396282,Mid,85715,Tucson,AZ,174.12935323383084,0.27190396342319195,7433.36,High,Medium,Medium,High,2.6000000000000005,High,1
21708922,635000.0,85737,-110.96524,32.40816,0.38,7055.72,2014,3,3.0,2707.0,2.0,"Dishwasher, Refrigerator, Microwave, Oven",0,"Carpet, Ceramic Tile",75.0,"(575000.0, 635000.0]",6.0,13.361381852676738,0.3220834991691133,Mid,85737,Tucson,AZ,234.57702253417068,0.17386405378090478,7130.72,Low,Medium,Medium,Low,1.4000000000000001,Low,2
21702418,575000.0,85624,-110.71692,31.558136,41.9,6855.78,2004,3,4.0,3482.0,2.0,"Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven",3,"Concrete, Wood",50.0,"(168999.999, 575000.0]",7.0,13.26212705890841,3.758871825933971,Low,85624,Patagonia,AZ,165.13497989661116,0.7593061621393755,6905.78,High,Low,Medium,Low,2.1,Medium,3
21722086,612500.0,85749,-110.732494,32.242263,0.56,4278.19,1972,5,5.0,3613.0,0.0,"Dishwasher, Gas Range",1,"Carpet, Ceramic Tile",6.0,"(575000.0, 635000.0]",10.0,13.325305854052749,0.4446858212614457,Mid,85749,Tucson,AZ,169.52670910600608,0.29008670230429356,4284.19,High,Medium,Low,High,2.5,High,1
21705829,630000.0,85749,-110.729097,32.250546,0.9,6702.05,2002,4,4.0,4772.0,4.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3,"Carpet, Ceramic Tile",0.0,"(575000.0, 635000.0]",8.0,13.353476685668044,0.6418538861723948,Mid,85749,Tucson,AZ,132.02011735121542,0.29008670230429356,6702.05,High,Medium,Medium,Low,2.4000000000000004,Medium,3
21706971,664000.0,85750,-110.870961,32.311973,0.94,5726.52,1975,4,3.0,3415.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,"Carpet, Ceramic Tile",43.0,"(635000.0, 727000.0]",7.0,13.406038934481533,0.6626879730752367,Higher Mid,85750,Tucson,AZ,194.4363103953148,0.2476370394592814,5769.52,Medium,Medium,Medium,High,2.1,Medium,3
